person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Shannon Williamson,svaldez,khunter@example.org,50130904,1989-03-02,"718 Hughes Trace Apt. 724, New Pamelaport, CO 86814",1647002808,ed:e8:3b:8c:32:df,191.227.182.185,GB54PNGR41554492442238,2025-07-01 02:14:14,351,69,12,6987,d5bbe116-9392-433a-ba3f-f40a18dfabb4
Kathryn Taylor,john24,johnsonjames@example.org,85944470,2016-04-19,"52781 Evan Extension, Port Brentport, WI 90895",153.787.4058x6406,82:83:76:f2:15:4e,52.8.69.113,GB49XWPL70913550535479,2025-05-16 09:14:56,147,53,45,9129,dfcc3cdb-3ac1-419c-8f20-12f8fbd2a163
Michele Rodriguez,tharrison,wanda21@example.net,83793039,1945-08-12,"4539 Sandra Streets, East Matthewfurt, OR 69269",001-134-763-7245,76:5c:21:69:69:c2,132.185.208.103,GB26ZDMQ94333467353450,2025-05-08 21:04:01,268,60,42,2083,7d915bba-8b22-4095-b117-f710b12d78d1
Danielle Hogan,woodmelissa,joseph71@example.net,62759975,1974-09-04,"USS Dickerson, FPO AA 33115",286.505.9680,59:7d:37:03:ec:a9,208.249.223.48,GB04XCAH85614073370319,2025-06-19 15:43:46,44,93,7,3006,cb832e6a-9fc8-4616-a28b-a0db0917939d
Erin Lee,wendy45,mariareynolds@example.org,45730967,1969-04-13,"PSC 6148, Box 7395, APO AP 41210",(168)927-3323x356,92:78:51:27:6b:71,4.5.58.249,GB20YACG50166040384446,2025-02-17 05:59:02,14,53,50,5068,67759809-2e1f-4f1c-95e8-aa06bde63477
Elizabeth Gonzalez,katherine99,thomasgregory@example.com,59831392,1994-07-02,"USCGC Rogers, FPO AA 90090",934.224.0278x31526,fc:ab:d2:5c:66:9d,5.168.94.91,GB16KARI14089433653888,2025-03-27 11:24:30,500,42,25,1371,806fbc1b-79c2-4f34-81d7-98278beb4255
Kara Nixon,alexander02,michaelnash@example.org,50440447,1970-07-22,"121 Potter Run, East Bobby, ND 14056",+1-407-965-4112x0128,ee:a5:cf:83:e5:d3,117.227.43.48,GB02JHIM62860212808411,2025-04-25 19:18:03,43,98,19,1827,ec37f311-412c-4496-a9b4-63375906b3af
Chris Jenkins,penaandrew,ryanbaker@example.net,65853840,1973-11-09,"56664 Mary Mountain, Gonzalezburgh, AS 45278",256.359.2084,ae:0c:90:c4:81:06,8.255.34.92,GB93RNJX65316326353805,2025-05-20 11:47:33,464,18,25,4300,01f12473-5fb7-4425-9eb0-c8f7a0e50f47
Daniel Richardson,ronaldaustin,lewisbrandon@example.net,68749847,1918-12-30,"4441 Pennington Springs Suite 575, Nicoleside, FL 10235",+1-798-240-5299x2867,70:56:81:8a:b3:c8,68.216.217.228,GB87VIHB21165610666683,2025-06-02 19:22:32,416,35,15,6655,74416fd9-7067-4df0-9da9-9b351bbf20d8
Russell Bond,stephenhall,ashleyhull@example.net,40623254,1984-06-05,"995 Eric Causeway Apt. 145, South Lindamouth, MH 69135",783-221-1261x68913,74:ab:65:3e:c3:a8,42.55.240.59,GB34ISSL00858443498713,2025-01-10 17:08:17,37,96,6,4940,7c1bd7b9-4f1f-4cf4-b5a6-a526f0aad97d
